2019-05-31T09:56:16.816844{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3926, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T09:57:16.792750{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3953, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T09:58:16.807344{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4000, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T09:59:16.808039{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4049, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:00:16.840093{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4075, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:01:16.819228{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4135, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:02:16.465375{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4200, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:03:16.805755{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4242, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:04:16.531253{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4260, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:05:16.523172{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4292, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:06:16.909132{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4296, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:07:16.554078{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4385, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:08:16.796281{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4449, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:09:16.825980{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4462, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:10:16.916089{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4474, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:11:16.846747{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4529, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:12:16.645557{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4561, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
