2019-05-31T09:51:34.237117{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 49021, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:52:34.043453{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 49577, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:53:34.228241{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 50642, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:54:34.206784{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 50761, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:55:34.257733{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 51171, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:56:34.227357{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 51535, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:57:34.230083{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52522, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:58:34.221017{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52704, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T09:59:33.948564{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52975, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:00:34.264544{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53399, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:01:34.041220{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53674, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
