2019-05-31T09:57:18.126024{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 786, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T09:58:18.123225{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 772, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T09:59:18.115814{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 769, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:00:18.120076{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 761, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:01:18.114691{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 762, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:02:17.778256{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 747, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:03:18.318770{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 756, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:04:17.754217{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 754, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:05:17.801596{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 765, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:06:18.184175{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 775, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:07:17.753448{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 762, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
