2019-07-01T15:46:44.564193{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2667, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.333980{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2698, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.250981{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2775, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.278241{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2931, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.316823{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2931, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.270990{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2684, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.104199{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2734, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.603777{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2703, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.300268{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2695, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:44.000734{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2730, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.267199{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 2943, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
