2019-07-01T15:45:44.878361{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2314, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.457872{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2268, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.344210{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2287, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.298820{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2311, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:43.895143{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2296, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.309495{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2313, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.156062{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2319, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.318442{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2283, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c']}
2019-07-01T15:54:44.344434{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2303, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:43.595005{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2380, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.893625{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2381, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
