2019-07-01T15:41:44.574936{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2000, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:43:42.807267{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2068, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:19:43.408851{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:21:43.122607{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2324, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:23:43.483859{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2185, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:24:43.743517{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2167, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:25:43.999438{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2191, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:26:44.488372{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2233, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:27:44.362768{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:28:44.379975{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2254, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:29:43.999310{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2260, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:30:44.513012{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2408, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:31:44.416862{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2408, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:32:44.862758{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2346, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:33:44.395625{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2322, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:35:43.646525{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2242, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
