2019-07-01T15:34:44.368555{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3080, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524']}
2019-07-01T15:35:44.245662{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3101, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.323874{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2962, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.286975{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3191, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.979723{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3050, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.281751{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3202, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.090581{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3127, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.075908{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2547, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.948915{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2809, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.269894{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2818, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.251214{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2770, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.515544{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2864, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.567563{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2909, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.335728{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2864, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
