2019-07-01T15:34:44.423285{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3900, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.224174{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3922, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.341655{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3916, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.225368{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3876, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.979712{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3914, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.266263{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3905, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.071772{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3915, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.051907{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3923, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.925017{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3878, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.287326{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3911, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.556592{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3924, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.521880{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3921, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.274047{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3913, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.338827{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3906, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.201784{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3906, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.243811{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3873, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
