2019-07-01T15:58:44.560787{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2256, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:43.918939{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2213, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:43.969471{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2238, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:43.858315{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2157, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.909229{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2157, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:43.930701{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2418, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:43.939441{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2494, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.772797{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2573, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.250905{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2621, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '0cb7e377-a308-44e8-91f7-07eea1d96129']}
2019-07-01T16:14:43.921023{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2626, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:42.917559{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2198, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
