2019-07-01T15:34:44.340594{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4293, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:35:44.227182{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4293, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:36:44.341775{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4300, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:37:44.198794{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4235, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:38:43.960715{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4218, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:39:44.203925{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4265, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:40:44.051782{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4242, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:41:44.031203{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4226, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:42:43.980556{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4143, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:43:44.270039{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4147, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:44:44.598062{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4179, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
