2019-07-01T15:34:44.374157{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3160, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.257649{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3158, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.342574{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3114, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.291057{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3058, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.972394{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3023, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.279859{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3023, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.094778{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3019, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.063449{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3023, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.942344{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3045, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.263971{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3060, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.629488{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3066, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.520163{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3074, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.299324{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3095, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.344317{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3111, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
