2019-07-01T15:38:44.581717{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1952, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:39:44.359877{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1879, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:40:44.167306{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1855, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:41:44.120675{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1868, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:42:44.009645{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1906, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:43:44.356728{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1931, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:44:44.365195{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1926, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:45:44.518965{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1954, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:46:44.486764{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1942, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:47:44.388768{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1901, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:48:44.291892{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1899, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:49:44.319986{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1902, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:51:43.882926{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1933, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:52:44.161482{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1953, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:53:44.644859{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1994, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:54:44.327390{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 2064, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:55:44.018634{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 2080, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:57:43.877991{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 2109, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:59:43.891218{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 2162, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:01:43.908349{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 2196, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:03:44.109862{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1833, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
