2019-07-01T15:34:44.372422{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3521, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:35:44.240820{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3538, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:36:44.347809{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3511, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:37:44.299131{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3562, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:38:44.018429{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3532, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:39:44.266061{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3679, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:40:44.085308{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3726, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:41:44.067347{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3755, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:42:43.930461{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3846, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:43:44.252704{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3851, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:44:44.263332{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3777, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
