2019-07-01T15:38:44.586485{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2724, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.343839{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2748, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.169140{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2771, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.100717{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2652, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.969864{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2591, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.303880{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2551, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.283596{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2530, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.510516{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2552, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.522603{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2565, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.339406{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2649, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.292530{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2616, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
