2019-07-01T16:19:44.558214{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2162, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:42.756608{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2134, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.448226{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2106, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.706714{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2090, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:44.387181{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2124, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:45.927598{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2021, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:43.911356{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 2004, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:43.889205{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1982, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.030994{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1980, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:43.901423{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1992, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:43.733921{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1968, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
