2019-07-01T15:34:44.289562{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4558, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:35:44.202901{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4454, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:36:44.342159{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4473, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:37:44.214050{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4541, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:38:43.969496{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4551, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:39:44.222750{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4617, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:40:44.052147{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4672, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:41:44.064970{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4628, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:42:43.894646{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4647, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:43:44.288277{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4692, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:44:44.218513{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4726, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
