2019-07-01T15:34:44.350382{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4295, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.210122{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4300, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.316629{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4189, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.217653{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4118, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.981633{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4130, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.253913{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4101, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.084933{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4124, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.060134{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4205, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.970306{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4257, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.269574{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4282, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.624365{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4347, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
