2019-07-01T15:34:44.369177{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3947, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.223661{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3723, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.328773{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3724, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.253547{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3718, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.960578{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3739, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.253555{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3789, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.054998{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3833, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.051315{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3952, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.911687{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3992, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.264285{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4007, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.549939{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 3976, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
