2019-07-01T15:34:44.392232{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2913, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:35:44.276827{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2884, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:36:44.355843{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2867, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:37:44.304932{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2774, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:38:44.018875{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2722, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:39:44.339680{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2704, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:40:44.123883{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2703, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:41:44.066595{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2714, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:42:43.970324{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2742, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:43:44.264166{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2770, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:44:44.267778{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2805, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
