2019-07-01T15:34:44.378092{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4091, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:35:44.206967{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4141, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:36:44.318423{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4146, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:37:44.213526{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4211, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:38:43.961536{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4190, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:39:44.548358{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4043, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:40:44.048175{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4074, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:41:44.072795{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4115, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:42:43.909055{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4097, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:43:44.244871{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4105, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:44:44.604540{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4084, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
