2019-07-01T15:34:44.446416{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2426, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:45:44.864100{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:46:44.560421{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2278, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:47:44.341921{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2331, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:48:44.291852{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2256, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:49:44.315122{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2184, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:51:43.891985{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2099, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:52:44.158651{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2110, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:55:44.746429{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2362, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:57:43.878056{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2364, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:59:43.915679{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2399, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
