2019-07-01T15:34:44.350196{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4138, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:35:44.220201{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4118, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:36:44.332953{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4102, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:37:44.225456{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4140, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:38:43.997482{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4164, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:56:43.847511{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4533, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:57:44.220645{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4528, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:58:44.370308{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '498380', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4580, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:00:43.918999{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4633, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:01:44.249451{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4523, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:02:44.204185{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4507, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
