2019-07-01T15:48:44.583306{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2701, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:50:43.905495{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2736, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:51:44.331637{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2762, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:53:44.498296{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2792, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:54:44.337893{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2781, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:55:44.007159{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2680, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:57:43.894037{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2658, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:59:43.918422{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2603, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:01:43.901137{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2581, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:03:44.114521{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2653, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:05:43.928295{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2597, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:07:43.941340{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2612, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:09:43.979544{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2566, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
