2019-07-01T15:34:44.333528{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 4569, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.219779{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 4549, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.347454{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 4524, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ba2c968b-867a-49ce-aebc-3d978a204f4a']}
2019-07-01T15:37:44.208710{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 4601, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:44.015807{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 4576, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:44.824329{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 2796, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.752359{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 2757, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:44.191403{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 2714, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:44.014087{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 2700, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:43.838825{'id': '34741969088', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 2693, 'started_at': datetime.datetime(2019, 7, 1, 17, 59, 15), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.194284{'id': '34745631760', 'user_id': '3389768', 'user_name': 'Philza', 'game_id': '27471', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7'], 'type': 'live', 'title': '#MinecraftMonday $10,000 tourny w/ JeromeASF we PG today lmao', 'viewer_count': 0, 'started_at': datetime.datetime(2019, 7, 1, 23, 26, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_philza-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
