2019-07-01T15:34:44.386835{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $530 and 1/18 $320 Gladiator!', 'viewer_count': 2693, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:16:45.084048{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': '2/13 $320 Gladiator!', 'viewer_count': 2776, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:19:43.022377{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': '2/13 $320 Gladiator!', 'viewer_count': 2851, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:21:43.083166{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2866, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:23:43.422390{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2882, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:24:43.688321{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2877, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:25:44.092556{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2905, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:26:44.444338{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2931, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:27:44.272408{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2988, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:28:44.457586{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2970, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:29:43.986033{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2967, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
