2019-07-01T15:34:44.334816{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3957, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.224181{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3996, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.331170{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3979, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.209101{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3950, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.967004{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4014, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:43.748241{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3530, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.217696{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3530, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:44.228723{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3532, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.212698{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3546, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.332520{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.255002{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3606, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
