2019-07-01T15:52:44.467589{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2689, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:02:44.606695{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2706, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:04:43.846260{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2689, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:06:43.887673{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2569, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:08:43.918059{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2350, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:10:43.729168{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:11:43.752518{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2243, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:13:43.802802{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2264, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:14:43.873002{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2270, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:16:42.659265{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2445, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:18:43.151952{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2313, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
