2019-07-01T16:14:45.289557{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1970, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:16:42.640697{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1999, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:18:43.112709{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1994, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:20:43.174681{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 2000, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:22:43.202562{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 2028, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:38:45.695102{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1900, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:40:43.931644{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1911, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:41:44.373041{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1924, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:42:44.306919{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1942, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:43:45.052803{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1950, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', 'df4783cb-b654-496d-a970-922bbc90679e']}
2019-07-01T16:44:44.325940{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1885, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', 'df4783cb-b654-496d-a970-922bbc90679e']}
