2019-07-01T15:34:44.416399{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3661, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:35:44.240641{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3669, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:36:44.325483{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3710, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:37:44.243801{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3816, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:38:43.979823{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3868, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:39:44.258498{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3923, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:40:44.074268{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3950, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:41:44.054837{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3973, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:42:43.945532{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4050, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:43:44.289727{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4051, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:44:44.248500{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4143, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:45:44.518974{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4172, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:46:44.306485{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4206, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
