2019-07-01T15:34:44.387071{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3603, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.237174{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3675, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.316907{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3640, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.237743{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3693, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.960775{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3567, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.277853{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3587, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.071858{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3618, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.094001{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3619, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.957226{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3673, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.283504{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3675, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.231235{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3637, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
