2019-07-01T15:34:44.425039{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2221, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '7f613168-c2fb-48f7-948b-a51aa8fd53d0']}
2019-07-01T15:51:45.081173{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2055, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:43.869599{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2060, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.376133{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2060, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.348575{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2050, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:42.628684{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2070, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.898873{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2076, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:43.949588{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2109, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:43.907714{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2145, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.966381{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2163, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.931425{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2195, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:43.932299{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'Token Druid! ...Heist!', 'viewer_count': 2077, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
