2019-07-01T15:34:44.384465{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2762, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.293338{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2790, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.325680{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2833, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.305148{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2776, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904']}
2019-07-01T15:38:44.008379{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2732, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.287951{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2616, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.124288{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2622, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.072831{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2643, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904']}
2019-07-01T15:42:43.965390{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2679, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.283217{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2689, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:45.037234{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2611, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
