2019-07-01T15:34:44.445574{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2497, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:35:44.313992{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2480, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:36:44.353648{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2452, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:37:44.325946{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2342, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:38:44.007194{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2305, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:39:44.339820{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2323, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:40:44.145781{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2310, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:41:44.086705{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2388, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:42:43.986284{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2211, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:43:44.346682{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2229, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:44:44.317185{'id': '34741263712', 'user_id': '101286926', 'user_name': 'WPMEzony', 'game_id': '27471', 'community_ids': ['630b0566-cee6-42e4-84ad-a18532d7f56b', 'c8f59921-b10b-49ab-99ac-0a8dc49df36d'], 'type': 'live', 'title': 'GALAKTYCZNY MOD O 20 !mody2 !jak 🍯KOD:HONEY🍯😡18+😡', 'viewer_count': 2176, 'started_at': datetime.datetime(2019, 7, 1, 16, 56, 31), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_wpmezony-{width}x{height}.jpg', 'tag_ids': ['f1e3759c-35b3-4858-a50f-8f9cafc2660f', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '8282259b-a997-4c63-b908-24027f64ac9a', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', 'f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
