2019-07-01T15:40:44.733445{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1607, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:41:44.079404{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1594, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:43:42.807234{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1591, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:10:44.873931{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1378, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:12:44.246949{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1358, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:14:43.934678{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1387, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:17:42.913174{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1397, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:18:42.579092{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1417, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:20:43.174108{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1439, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:22:43.232052{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1420, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:23:43.958082{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1421, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
