2019-07-01T15:42:44.774185{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1924, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.353133{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1931, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.347421{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1952, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.512170{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1966, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.386178{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1974, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.378534{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2000, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.335776{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2015, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:43.954761{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2069, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.332057{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2061, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.501271{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2103, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.351481{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2096, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:42.580612{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2065, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.888619{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2039, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:43.949834{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2056, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:43.908757{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2069, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.952289{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2124, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
