2019-07-01T15:41:44.550188{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2491, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:44.001562{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2516, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.350650{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2545, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.358018{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2478, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.494097{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2479, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:43.754049{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2570, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.897016{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2615, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:43.909449{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2646, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.063566{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2623, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.101885{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2577, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.917153{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2615, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
