2019-07-01T16:17:45.421996{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3555, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:19:43.774929{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3584, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:20:43.475702{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3640, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:21:43.476148{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3638, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:22:43.801702{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3634, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:24:43.866014{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Джунгли. начали в 00:30', 'viewer_count': 3645, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:27:44.619472{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Бабушка в белом. начали в 2.30', 'viewer_count': 3507, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:28:44.443132{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Бабушка в белом. начали в 2.30', 'viewer_count': 2815, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:29:43.943864{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2652, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:30:44.304733{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2563, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:31:44.269492{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2466, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
