2019-07-01T15:45:44.864112{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2611, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:21:45.400397{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2515, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:23:43.996893{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2490, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:25:43.879794{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2524, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:26:44.394191{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2543, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:27:44.272119{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2492, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:28:44.553820{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2497, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:29:43.975746{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2478, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:30:44.316351{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2532, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:31:44.324692{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2554, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:32:44.852965{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2563, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
