2019-07-01T15:34:44.289680{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4025, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:35:44.212841{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4029, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:36:44.341589{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4030, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:37:44.217531{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4037, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:38:43.965499{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4078, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:07:44.614905{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 3685, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:08:44.190229{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 3688, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:09:44.231216{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 3723, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:10:44.048032{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 3735, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:12:44.017515{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 4121, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:13:44.214163{'id': '34742126896', 'user_id': '25604128', 'user_name': 'guit88man', 'game_id': '115977', 'community_ids': ['d808cf0b-88c3-4ef2-acd0-bae82f17e9c3'], 'type': 'live', 'title': 'Ведьмак 3 - день 2', 'viewer_count': 3915, 'started_at': datetime.datetime(2019, 7, 1, 18, 11, 2), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_guit88man-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
