2019-07-01T15:34:44.373281{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3136, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.287293{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3135, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.353692{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3101, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.304861{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3081, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:44.018669{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3036, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.339584{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3016, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.118993{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 3011, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.051304{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2995, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.953270{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2944, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.273714{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2923, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.250937{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2896, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
