2019-07-01T15:36:44.672063{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2208, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.395701{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2139, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:44.008330{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2113, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.355327{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2090, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.182698{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2101, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.086509{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2115, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:44.033677{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2203, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.350439{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2187, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.365249{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2209, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.515251{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2166, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.386179{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2200, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
