2019-07-01T15:56:44.579732{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2556, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T15:58:43.932641{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2557, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T15:59:44.278812{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2581, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:00:44.297466{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2594, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:01:44.320582{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2564, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:02:44.288783{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2562, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:03:44.281377{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2560, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:04:44.259989{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2556, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:06:43.885561{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2564, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:08:43.912839{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2551, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:10:43.678759{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2969, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
