2019-07-01T15:34:44.377982{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 3961, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:35:44.230750{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 3988, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:36:44.334034{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4025, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.234142{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4074, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:43.974041{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4083, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.260773{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4124, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.060720{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4222, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc']}
2019-07-01T15:41:44.051377{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4200, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.934500{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4219, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.342504{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4265, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.229084{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4280, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
