2019-07-01T15:36:44.672102{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2555, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:37:44.330021{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2551, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:38:44.016419{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2596, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:39:44.348941{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2596, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:40:44.135790{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2652, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:41:44.086330{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2673, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:42:43.984968{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2676, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:43:44.295583{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2724, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:44:44.305255{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2729, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:45:44.515252{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2721, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:46:44.542113{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2709, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
