2019-07-01T15:36:44.595251{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2414, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:37:44.338427{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2388, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:38:44.006981{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2392, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:39:44.351449{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2330, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.135219{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2379, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.088033{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2399, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.984877{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2346, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.654412{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2312, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.542074{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2305, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.342014{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2316, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.291944{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.325045{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2252, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.304776{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2264, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.301077{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2225, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.155577{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2226, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.315400{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2273, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
