2019-07-01T15:34:44.357083{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4641, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:40:44.737120{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4212, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:41:44.045764{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4105, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:42:43.902321{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4007, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:43:44.277600{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 3939, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:44:44.188878{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 3919, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:45:44.518506{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 3978, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.285044{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4050, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.334106{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4092, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.177928{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4118, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.224012{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4251, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
