2019-07-01T15:34:44.445661{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'Rankeando e Tryhardando  !amazon !sub !sorteio !donate ', 'viewer_count': 2315, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:11:44.571418{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2340, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:13:44.027106{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2331, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:15:43.575417{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2304, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:16:42.646489{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2312, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:18:43.159339{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2466, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:20:43.151760{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2475, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:21:42.854625{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2501, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:23:43.483282{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2575, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:24:43.715659{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2556, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:25:43.900071{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2606, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:26:44.578487{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2611, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:27:44.335743{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2633, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:31:44.615951{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2658, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:32:44.871787{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2652, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:33:44.322438{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2707, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:35:43.652462{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2722, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:36:43.907637{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2683, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
