2019-07-02T11:47:06.109710{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13358, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:06.317155{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13379, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:05.989377{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13464, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:06.359697{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13362, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:06.337653{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13384, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:52:06.209606{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13431, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:53:06.029216{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13447, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:05.950203{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13505, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:05.997331{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13260, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:06.368135{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13132, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:06.279527{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13132, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:58:06.006065{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13132, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:06.251182{'id': '34752058304', 'user_id': '121059319', 'user_name': 'MOONMOON_OW', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': '[ASTOUNDING] rank 20 super expert player breaks his expert record (again)', 'viewer_count': 13132, 'started_at': datetime.datetime(2019, 7, 2, 14, 23, 49), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon_ow-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
