2019-07-02T11:47:06.104670{'id': '34752034432', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 23166, 'started_at': datetime.datetime(2019, 7, 2, 14, 21, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:06.317294{'id': '34752034432', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 23133, 'started_at': datetime.datetime(2019, 7, 2, 14, 21, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:05.993205{'id': '34752034432', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 22909, 'started_at': datetime.datetime(2019, 7, 2, 14, 21, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:06.379141{'id': '34752034432', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 25442, 'started_at': datetime.datetime(2019, 7, 2, 14, 21, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:06.313073{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 26507, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:52:06.196755{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 0, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:53:06.038498{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 12287, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:05.945593{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 12766, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:05.996989{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 12983, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:06.336522{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 12983, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:06.355193{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 13524, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
