2019-07-02T11:47:06.104893{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11061, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:06.329132{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11108, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:05.999282{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11120, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:06.360835{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11167, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:06.320594{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11161, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:52:06.174495{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11207, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:53:06.028972{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11261, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:05.945276{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11243, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:06.002005{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11322, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:06.329405{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11289, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:06.256175{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11400, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:58:06.070632{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11525, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:06.245936{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11552, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:00:06.265563{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11611, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:06.010777{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11648, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:06.312621{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11819, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:06.018930{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11814, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:06.313121{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11851, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:06.251144{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11984, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
