2019-07-02T11:46:15.489901{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37631, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:47:06.104705{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37632, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:47:15.611658{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37711, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:06.329140{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 38017, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:15.776139{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 38017, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:05.989356{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 38351, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:15.452579{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 38514, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:06.359696{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 38514, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:15.773918{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 39415, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:06.320253{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 41083, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:15.866319{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 41083, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
