2019-07-02T11:47:06.101125{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2625, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:48:06.647432{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2590, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:49:05.993234{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2572, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:50:06.359870{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2585, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:51:06.312666{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2604, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:52:06.198046{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2604, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:53:06.012686{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2585, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:05.946421{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2577, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:05.999616{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2465, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:06.329678{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2463, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:06.308389{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2425, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
